long,lat,distance,elevation_m
121.444600,25.042300,1.878100,11.930463
121.444433,25.042633,1.891467,9.466905
121.444267,25.042967,1.904833,7.502333
121.444100,25.043300,1.918200,6.899789
121.444133,25.043200,1.931533,6.807901
121.444167,25.043100,1.944867,6.922048
121.444200,25.043000,1.958200,7.159171
121.444067,25.043233,1.971567,6.922688
121.443933,25.043467,1.984933,8.348809
121.443800,25.043700,1.998300,8.622763
121.443767,25.043767,2.011633,8.094252
121.443733,25.043833,2.024967,7.530002
121.443700,25.043900,2.038300,7.096528
121.443633,25.044000,2.051667,6.847136
121.443567,25.044100,2.065033,7.052988
121.443500,25.044200,2.078400,7.299025
121.443433,25.044333,2.091733,7.257001
121.443367,25.044467,2.105067,8.009788
121.443300,25.044600,2.118400,10.256689
121.443233,25.044700,2.131767,12.418882
121.443167,25.044800,2.145133,13.755597
121.443100,25.044900,2.158500,13.454074
121.443067,25.044967,2.171833,12.512009
121.443033,25.045033,2.185167,11.309881
121.443000,25.045100,2.198500,9.767006
121.442667,25.045667,2.211867,5.636160
121.442333,25.046233,2.225233,4.250914
121.442000,25.046800,2.238600,3.534099
121.442033,25.046700,2.251933,3.671077
121.442067,25.046600,2.265267,3.389527
121.442100,25.046500,2.278600,2.900278
121.442167,25.046400,2.291967,2.795269
121.442233,25.046300,2.305333,3.372789
121.442300,25.046200,2.318700,4.296515
121.442400,25.046050,2.338700,5.392017
121.442500,25.045900,2.358700,6.113088
121.442567,25.045800,2.372033,6.365966
121.442633,25.045700,2.385367,5.891117
121.442700,25.045600,2.398700,5.094997
121.442233,25.046367,2.412067,3.094570
121.441767,25.047133,2.425433,2.145853
121.441300,25.047900,2.438800,3.399743
121.441367,25.047800,2.452133,3.076377
121.441433,25.047700,2.465467,2.651185
121.441500,25.047600,2.478800,2.209672
121.441567,25.047500,2.492167,2.032256
121.441633,25.047400,2.505533,1.916632
121.441700,25.047300,2.518900,1.700430
121.441767,25.047200,2.532233,1.659462
121.441833,25.047100,2.545567,2.150936
121.441900,25.047000,2.558900,2.791101
121.441533,25.047567,2.572267,2.131656
121.441167,25.048133,2.585633,3.993379
121.440800,25.048700,2.599000,3.664203
121.440900,25.048550,2.619000,4.194339
121.441000,25.048400,2.639000,4.313397
121.440900,25.048533,2.652367,4.250456
121.440800,25.048667,2.665733,3.790471
121.440700,25.048800,2.679100,3.277587
121.440667,25.048900,2.692433,2.908702
121.440633,25.049000,2.705767,2.493101
121.440600,25.049100,2.719100,2.113378
121.440400,25.049433,2.732467,2.400148
121.440200,25.049767,2.745833,5.145319
121.440000,25.050100,2.759200,3.598528
121.440067,25.050000,2.772533,4.240000
121.440133,25.049900,2.785867,4.765018
121.440200,25.049800,2.799200,5.126615
121.440100,25.049967,2.812533,4.453781
121.440000,25.050133,2.825867,3.460096
121.439900,25.050300,2.839200,2.529470
121.439800,25.050467,2.852567,2.063860
121.439700,25.050633,2.865933,2.436241
121.439600,25.050800,2.879300,3.426773
121.439450,25.051000,2.899300,3.677955
121.439300,25.051200,2.919300,4.297853
121.439267,25.051300,2.932667,4.676339
121.439233,25.051400,2.946033,4.804523
121.439200,25.051500,2.959400,4.317123
121.439133,25.051600,2.972733,3.475646
121.439067,25.051700,2.986067,2.745015
121.439000,25.051800,2.999400,2.298340
121.438967,25.051833,3.012767,2.190812
121.438933,25.051867,3.026133,2.115036
121.438900,25.051900,3.039500,2.073161
121.438800,25.052100,3.052833,2.262247
121.438700,25.052300,3.066167,2.762488
121.438600,25.052500,3.079500,3.018432
121.438667,25.052367,3.092867,2.907344
121.438733,25.052233,3.106233,2.628064
121.438800,25.052100,3.119600,2.262247
121.438700,25.052300,3.132933,2.762488
121.438600,25.052500,3.146267,3.018432
121.438500,25.052700,3.159600,2.373377
121.438433,25.052800,3.172967,2.739983
121.438367,25.052900,3.186333,3.366731
121.438300,25.053000,3.199700,3.679730
121.438167,25.053200,3.213033,4.155172
121.438033,25.053400,3.226367,4.977849
121.437900,25.053600,3.239700,5.112072
121.437900,25.053600,3.253033,5.112072
121.437900,25.053600,3.266367,5.112072
121.437900,25.053600,3.279700,5.112072
121.437800,25.053800,3.293067,5.263533
121.437700,25.054000,3.306433,5.022393
121.437600,25.054200,3.319800,5.319394
121.437633,25.054100,3.333133,5.238890
121.437667,25.054000,3.346467,5.231424
121.437700,25.053900,3.359800,5.348199
121.437767,25.053800,3.373167,5.443554
121.437833,25.053700,3.386533,5.471686
121.437900,25.053600,3.399900,5.112072
121.437700,25.053967,3.413233,5.134757
121.437500,25.054333,3.426567,5.448000
121.437300,25.054700,3.439900,4.012075
121.437233,25.054800,3.453267,3.700175
121.437167,25.054900,3.466633,3.505704
121.437100,25.055000,3.480000,3.371008
121.436933,25.055300,3.493333,2.883799
121.436767,25.055600,3.506667,0.748952
121.436600,25.055900,3.520000,2.268231
121.436633,25.055800,3.533367,2.037222
121.436667,25.055700,3.546733,1.405184
121.436700,25.055600,3.560100,0.857905
121.436767,25.055500,3.573433,1.031136
121.436833,25.055400,3.586767,1.978301
121.436900,25.055300,3.600100,2.905204
121.436700,25.055667,3.613467,1.090370
121.436500,25.056033,3.626833,2.573329
121.436300,25.056400,3.640200,4.120800
121.436100,25.056733,3.653533,2.699763
121.435900,25.057067,3.666867,1.911665
121.435700,25.057400,3.680200,2.496517
121.435767,25.057300,3.693567,2.190591
121.435833,25.057200,3.706933,2.000000
121.435900,25.057100,3.720300,1.921981
121.435933,25.057000,3.733633,1.871317
121.435967,25.056900,3.746967,1.921438
121.436000,25.056800,3.760300,2.155798
121.435833,25.057067,3.773633,2.000000
121.435667,25.057333,3.786967,2.591936
121.435500,25.057600,3.800300,3.045190
121.435467,25.057667,3.813667,3.035437
121.435433,25.057733,3.827033,3.015243
121.435400,25.057800,3.840400,2.986109
121.435333,25.057933,3.853733,2.980543
121.435267,25.058067,3.867067,3.019503
121.435200,25.058200,3.880400,3.296560
121.435100,25.058367,3.893767,4.947247
121.435000,25.058533,3.907133,7.512576
121.434900,25.058700,3.920500,9.481577
121.434833,25.058800,3.933833,9.476527
121.434767,25.058900,3.947167,8.827291
121.434700,25.059000,3.960500,8.443952
121.434600,25.059167,3.973867,8.796224
121.434500,25.059333,3.987233,9.691904
121.434400,25.059500,4.000600,10.178946
121.434467,25.059400,4.013933,9.903665
121.434533,25.059300,4.027267,9.454193
121.434600,25.059200,4.040600,8.803698
121.434500,25.059367,4.053967,9.733993
121.434400,25.059533,4.067333,10.179458
121.434300,25.059700,4.080700,10.608068
121.434167,25.059900,4.094033,10.327744
121.434033,25.060100,4.107367,10.150852
121.433900,25.060300,4.120700,9.927978
121.433867,25.060367,4.134067,9.970921
121.433833,25.060433,4.147433,10.074150
121.433800,25.060500,4.160800,10.193740
121.433767,25.060567,4.174133,10.321161
121.433733,25.060633,4.187467,10.474418
121.433700,25.060700,4.200800,10.635464
121.433600,25.060833,4.214133,11.021568
121.433500,25.060967,4.227467,11.309657
121.433400,25.061100,4.240800,11.164302
121.433333,25.061233,4.254167,11.781440
121.433267,25.061367,4.267533,12.431448
121.433200,25.061500,4.280900,12.296610
121.433133,25.061533,4.294233,12.098706
121.433067,25.061567,4.307567,12.254984
121.433000,25.061600,4.320900,12.770898
121.432867,25.061667,4.334267,14.290368
121.432733,25.061733,4.347633,15.797426
121.432600,25.061800,4.361000,17.490532
121.432467,25.061867,4.374333,18.927775
121.432333,25.061933,4.387667,19.959365
121.432200,25.062000,4.401000,19.791483
121.431967,25.062100,4.414367,17.698276
121.431733,25.062200,4.427733,17.801669
121.431500,25.062300,4.441100,18.518848
121.431633,25.062267,4.454433,18.258940
121.431767,25.062233,4.467767,17.985540
121.431900,25.062200,4.481100,17.894904
121.431550,25.062350,4.500550,18.399234
121.431200,25.062500,4.520000,19.255552
121.431050,25.062600,4.539950,20.648123
121.430900,25.062700,4.559900,21.140490
121.430700,25.062800,4.579850,20.964260
121.430500,25.062900,4.599800,20.877376
121.430333,25.063000,4.613133,20.866240
121.430167,25.063100,4.626467,21.265572
121.430000,25.063200,4.639800,20.895104
121.429900,25.063200,4.659750,20.759102
121.429800,25.063200,4.679700,20.626591
121.429750,25.063200,4.699700,20.620012
121.429700,25.063200,4.719700,20.678894
121.429150,25.063450,4.739650,22.192218
121.428600,25.063700,4.759600,26.409829
121.428800,25.063650,4.779550,26.043838
121.429000,25.063600,4.799500,24.135606
121.428600,25.063767,4.812833,26.287986
121.428200,25.063933,4.826167,28.895599
121.427800,25.064100,4.839500,24.713997
121.428000,25.064000,4.859450,27.425472
121.428200,25.063900,4.879400,29.167450
121.427967,25.064000,4.892733,27.156829
121.427733,25.064100,4.906067,24.981387
121.427500,25.064200,4.919400,26.580864
121.427400,25.064200,4.939350,26.766082
121.427300,25.064200,4.959300,26.602747
121.426950,25.064200,4.979250,26.469785
121.426600,25.064200,4.999200,25.938432
121.426733,25.064200,5.012533,25.607287
121.426867,25.064200,5.025867,26.193342
121.427000,25.064200,5.039200,26.522371
121.426550,25.064150,5.059150,27.063645
121.426100,25.064100,5.079100,27.104233
121.425600,25.064050,5.099050,21.557349
121.425100,25.064000,5.119000,27.919879
121.425233,25.064033,5.132333,23.587074
121.425367,25.064067,5.145667,21.590122
121.425500,25.064100,5.159000,20.198264
121.425150,25.064000,5.178950,26.543966
121.424800,25.063900,5.198900,35.682617
121.424167,25.063833,5.212233,25.824000
121.423533,25.063767,5.225567,30.287298
121.422900,25.063700,5.238900,31.448188
121.423100,25.063700,5.258850,32.968424
121.423300,25.063700,5.278800,33.411888
121.423500,25.063750,5.298750,31.060500
121.423700,25.063800,5.318700,27.439183
121.423833,25.063800,5.332033,26.055477
121.423967,25.063800,5.345367,25.612257
121.424100,25.063800,5.358700,26.015944
121.424250,25.063850,5.378650,25.443197
121.424400,25.063900,5.398600,24.195923
121.423450,25.063750,5.418550,31.785234
121.422500,25.063600,5.438500,32.053760
121.422367,25.063567,5.451833,32.259217
121.422233,25.063533,5.465167,32.871296
121.422100,25.063500,5.478500,34.153116
121.421900,25.063500,5.498450,35.757004
121.421700,25.063500,5.518400,37.642284
121.421633,25.063500,5.531733,37.557434
121.421567,25.063500,5.545067,37.065485
121.421500,25.063500,5.558400,36.260672
121.421350,25.063600,5.578350,32.174411
121.421200,25.063700,5.598300,25.950687
121.420900,25.063950,5.618250,24.005944
121.420600,25.064200,5.638200,27.924497
121.420700,25.064133,5.651533,27.150867
121.420800,25.064067,5.664867,26.024642
121.420900,25.064000,5.678200,24.577032
121.420600,25.064250,5.698150,27.989923
121.420300,25.064500,5.718100,30.357200
121.420200,25.064600,5.731433,32.226722
121.420100,25.064700,5.744767,33.652292
121.420000,25.064800,5.758100,34.094528
121.419900,25.064850,5.778050,34.156393
121.419800,25.064900,5.798000,34.804585
121.419667,25.064967,5.811333,36.338193
121.419533,25.065033,5.824667,38.259939
121.419400,25.065100,5.838000,39.002238
121.419233,25.065100,5.851333,38.750809
121.419067,25.065100,5.864667,38.296594
121.418900,25.065100,5.878000,37.915211
121.418800,25.065100,5.891367,38.268991
121.418700,25.065100,5.904733,38.908374
121.418600,25.065100,5.918100,39.351551
121.418433,25.065133,5.931433,39.298955
121.418267,25.065167,5.944767,39.991715
121.418100,25.065200,5.958100,41.621100
121.417967,25.065233,5.971433,44.230359
121.417833,25.065267,5.984767,48.072139
121.417700,25.065300,5.998100,53.181032
121.417600,25.065400,6.011433,60.403237
121.417500,25.065500,6.024767,69.736000
121.417400,25.065600,6.038100,71.567447
121.417300,25.065667,6.051433,69.661010
121.417200,25.065733,6.064767,68.915084
121.417100,25.065800,6.078100,69.276168
121.416967,25.065900,6.091467,68.438489
121.416833,25.066000,6.104833,65.684800
121.416700,25.066100,6.118200,62.805194
121.416567,25.066167,6.131533,62.450608
121.416433,25.066233,6.144867,62.301253
121.416300,25.066300,6.158200,60.714544
121.416200,25.066367,6.171533,56.990647
121.416100,25.066433,6.184867,55.052830
121.416000,25.066500,6.198200,55.735424
121.415933,25.066533,6.211533,56.988279
121.415867,25.066567,6.224867,58.110844
121.415800,25.066600,6.238200,58.913519
121.415733,25.066633,6.251533,59.409138
121.415667,25.066667,6.264867,59.744000
121.415600,25.066700,6.278200,60.177493
121.415467,25.066767,6.291567,62.353533
121.415333,25.066833,6.304933,65.826752
121.415200,25.066900,6.318300,68.095113
121.415100,25.066967,6.331633,68.800045
121.415000,25.067033,6.344967,69.871936
121.414900,25.067100,6.358300,71.556109
121.414833,25.067133,6.371633,73.517839
121.414767,25.067167,6.384967,75.710548
121.414700,25.067200,6.398300,77.778898
121.414633,25.067233,6.411633,79.703995
121.414567,25.067267,6.424967,81.118795
